DateTime,Flux_1,airTemp_c,tempC_421,stn1_Q,air_pressure_kPa,V1_adjusted,CO2_air_ppm,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective,kkin,K600.eq1
7/10/2019 11:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kkin,8.837839777
7/11/2019 11:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kkin,6.160626836
7/12/2019 12:41,NA,NA,11.43886667,0.005359803,62.42826667,NA,410,0.616118922,NA,NA,NA,NA,NA,284.5888667,0.051363448,NA,NA,NA,NA,949.9875393,NA,NA,NA
7/12/2019 12:42,NA,NA,11.4634,0.005405972,62.428,NA,410,0.61611629,NA,NA,NA,NA,NA,284.6134,0.051326123,NA,NA,NA,NA,948.6310905,NA,NA,NA
7/12/2019 12:43,NA,NA,11.48793333,0.005452473,62.42773333,NA,410,0.616113659,NA,NA,NA,NA,NA,284.6379333,0.051288833,NA,NA,NA,NA,947.2770873,NA,NA,NA
7/12/2019 12:44,NA,NA,11.51246667,0.005499304,62.42746667,4129.919745,410,0.616111027,NA,NA,NA,NA,NA,284.6624667,0.051251576,0.002539979,NA,NA,NA,945.9255262,NA,NA,NA
7/12/2019 12:45,1.55,7.655523,11.537,0.005546467,62.4272,4061.450046,410,0.616108395,0.010471396,0.605636999,0.026283862,1.08E-05,0.000129317,284.687,0.051214352,0.002496054,0.121210941,1.60704,13.25820906,944.5764035,16.6351907,NA,NA
7/12/2019 12:46,NA,NA,11.564,0.005587369,62.42601333,4061.688253,410,0.616096684,NA,NA,NA,NA,NA,284.714,0.051173424,0.002494206,NA,NA,NA,943.0944494,NA,NA,NA
7/12/2019 12:47,NA,NA,11.591,0.005628517,62.42482667,4054.305568,410,0.616084972,NA,NA,NA,NA,NA,284.741,0.051132537,0.002487683,NA,NA,NA,941.6154393,NA,NA,NA
7/12/2019 12:48,NA,NA,11.618,0.005669911,62.42364,4024.058006,410,0.616073261,NA,NA,NA,NA,NA,284.768,0.05109169,0.002467151,NA,NA,NA,940.1393683,NA,NA,NA
7/12/2019 12:49,NA,NA,11.645,0.005711552,62.42245333,4047.159234,410,0.616061549,NA,NA,NA,NA,NA,284.795,0.051050884,0.002479333,NA,NA,NA,938.6662316,NA,NA,NA
7/12/2019 12:50,1.58,7.474847,11.672,0.005753438,62.42126667,4009.2854,410,0.616049838,0.010342978,0.60570686,0.026303818,1.08E-05,0.000129415,284.822,0.051010118,0.002454169,0.118586009,1.638144,13.81397362,937.1960243,17.26466738,NA,NA
7/12/2019 12:51,NA,NA,11.699,0.00579557,62.42008,4017.143056,410,0.616038126,NA,NA,NA,NA,NA,284.849,0.050969392,0.002457016,NA,NA,NA,935.7287415,NA,NA,NA
7/12/2019 12:52,NA,NA,11.726,0.005837948,62.41889333,3986.886043,410,0.616026415,NA,NA,NA,NA,NA,284.876,0.050928706,0.002436563,NA,NA,NA,934.2643784,NA,NA,NA
7/12/2019 12:53,NA,NA,11.753,0.005880572,62.41770667,3987.119662,410,0.616014703,NA,NA,NA,NA,NA,284.903,0.050888061,0.002434761,NA,NA,NA,932.80293,NA,NA,NA
7/12/2019 12:54,NA,NA,11.78,0.005923442,62.41652,3964.481258,410,0.616002992,NA,NA,NA,NA,NA,284.93,0.050847456,0.002419005,NA,NA,NA,931.3443915,NA,NA,NA
7/12/2019 12:55,1.53,7.55661,11.807,0.005966558,62.41533333,3979.962402,410,0.61599128,0.010400919,0.605590361,0.026291099,1.08E-05,0.000129352,284.957,0.050806891,0.002426514,0.116711656,1.586304,13.59165013,929.888758,16.92045588,NA,NA
7/12/2019 12:56,NA,NA,11.834,0.00600992,62.41414667,3980.195524,410,0.615979569,NA,NA,NA,NA,NA,284.984,0.050766365,0.002424721,NA,NA,NA,928.4360245,NA,NA,NA
7/12/2019 12:57,NA,NA,11.861,0.006053528,62.41296,3980.428629,410,0.615967857,NA,NA,NA,NA,NA,285.011,0.05072588,0.002422929,NA,NA,NA,926.9861864,NA,NA,NA
7/12/2019 12:58,NA,NA,11.888,0.006097382,62.41177333,3965.41014,410,0.615956146,NA,NA,NA,NA,NA,285.038,0.050685435,0.002411862,NA,NA,NA,925.5392385,NA,NA,NA
7/12/2019 12:59,NA,NA,11.915,0.006141482,62.41058667,3980.894789,410,0.615944434,NA,NA,NA,NA,NA,285.065,0.05064503,0.00241935,NA,NA,NA,924.0951762,NA,NA,NA
7/12/2019 13:00,1.49,7.430281,11.942,0.006185828,62.4094,3958.247798,410,0.615932723,0.010311516,0.605621206,0.026304276,1.08E-05,0.000129417,285.092,0.050604664,0.00240367,0.115087788,1.544832,13.4230749,922.6539944,16.64546077,NA,NA
7/12/2019 13:01,NA,NA,11.94806667,0.006156378,62.40912,4011.883819,410,0.615929959,NA,NA,NA,NA,NA,285.0980667,0.0505956,0.002435804,NA,NA,NA,922.3305692,NA,NA,NA
7/12/2019 13:02,NA,NA,11.95413333,0.006127036,62.40884,4363.004043,410,0.615927196,NA,NA,NA,NA,NA,285.1041333,0.050586538,0.002648511,NA,NA,NA,922.0072891,NA,NA,NA
7/12/2019 13:03,NA,NA,11.9602,0.006097802,62.40856,5072.688749,410,0.615924433,NA,NA,NA,NA,NA,285.1102,0.050577477,0.003078766,NA,NA,NA,921.684154,NA,NA,NA
7/12/2019 13:04,NA,NA,11.96626667,0.006068677,62.40828,5683.290129,410,0.615921669,NA,NA,NA,NA,NA,285.1162667,0.050568419,0.00344874,NA,NA,NA,921.361164,NA,NA,NA
7/12/2019 13:05,2.57,7.523166,11.97233333,0.00603966,62.408,6156.644453,410,0.615918906,0.010377184,0.605541721,0.02629212,1.08E-05,0.000129357,285.1223333,0.050559363,0.003735312,0.182314789,2.664576,14.61524879,921.038319,18.10795626,NA,NA
